Modelo,Modo,Augmentation,Acurácia (média),Acurácia (std),Acc Test (média),Acc Test (std),F1 Macro (média),F1 Macro (std),F1 Weighted (média),F1 Weighted (std)
EfficientnetV2_B0,feature_extraction,Com Aug,0.4786324786324786,0.1264841759568269,0.3418803418803418,0.1156217885339203,0.3178792138706749,0.0830365003437302,0.3314216344887049,0.1059310343200353
EfficientnetV2_B0,feature_extraction,Sem Aug,0.5042735042735043,0.1067521025367247,0.3931623931623931,0.1668309512473772,0.3809090230122696,0.1575092197694818,0.3916921475602661,0.1730141906174449
EfficientnetV2_B0,fine_tuning,Com Aug,0.6324786324786325,0.0391673136321011,0.4786324786324786,0.1036269713930097,0.4741469116948043,0.1072250723202504,0.5008610441855358,0.0880477492606589
EfficientnetV2_B0,fine_tuning,Sem Aug,0.6068376068376068,0.0824243654785722,0.4444444444444444,0.0148038530561442,0.4250610053224432,0.0096331683651768,0.4534802162253142,0.0097365831529549
EfficientnetV2_B0,scratch,Com Aug,0.6495726495726496,0.0148038530561442,0.4358974358974358,0.0888231183368655,0.3768757141896888,0.0376207900816133,0.4186622613119891,0.0514552114033685
EfficientnetV2_B0,scratch,Sem Aug,0.6153846153846154,0.0256410256410256,0.4102564102564102,0.0678397772067843,0.3693125757431049,0.0432786099368455,0.4016284705867735,0.0490006175901943
EfficientnetV2_B1,feature_extraction,Com Aug,0.4273504273504273,0.0391673136321011,0.3418803418803418,0.090048322673955,0.2952039853089327,0.0930509862417909,0.3105833530121386,0.0933535151147638
EfficientnetV2_B1,feature_extraction,Sem Aug,0.4529914529914529,0.0533760512683623,0.3418803418803418,0.0148038530561442,0.3016457846395818,0.0448052954958595,0.3187487991262574,0.0263304013258341
EfficientnetV2_B1,fine_tuning,Com Aug,0.5897435897435898,0.0512820512820513,0.547008547008547,0.0296077061122885,0.5201879517238994,0.0191348772635209,0.553535117750804,0.0217646238424357
EfficientnetV2_B1,fine_tuning,Sem Aug,0.5811965811965812,0.0391673136321012,0.5641025641025641,0.0256410256410256,0.536891629004899,0.0240372921347216,0.5636040190193067,0.0236858897673173
EfficientnetV2_B1,scratch,Com Aug,0.5641025641025641,0.0,0.452991452991453,0.0148038530561442,0.3753007998924514,0.0520643277357777,0.4202188716707772,0.0399229412307247
EfficientnetV2_B1,scratch,Sem Aug,0.5726495726495727,0.0391673136321012,0.4529914529914529,0.0533760512683623,0.4261146795883104,0.0682451455453866,0.4465655625645483,0.0560961529411668
