seed,dataset,model,training_mode,augmentation,best_epoch,val_acc_best,num_params,gflops,acc_test,f1_macro_test,f1_weighted_test,confusion_matrix
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,15,0.9736842105263158,5861266,0.647596928,0.8695652173913043,0.8673076923076923,0.8673076923076924,"[[23, 0], [6, 17]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,27,0.9473684210526315,5861266,0.647596928,0.9130434782608695,0.9130434782608695,0.9130434782608695,"[[21, 2], [2, 21]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,2,0.4473684210526316,5861266,0.647596928,0.5869565217391305,0.5771649733913884,0.5771649733913885,"[[10, 13], [6, 17]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,39,0.5,5861266,0.647596928,0.41304347826086957,0.38968058968058966,0.38968058968058966,"[[14, 9], [18, 5]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,30,0.9473684210526315,5861266,0.647596928,1.0,1.0,1.0,"[[23, 0], [0, 23]]"
42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,21,0.8947368421052632,5861266,0.647596928,0.9347826086956522,0.9345040341718083,0.9345040341718083,"[[23, 0], [3, 20]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,31,0.9736842105263158,6862614,0.945369984,0.8695652173913043,0.8685714285714285,0.8685714285714284,"[[22, 1], [5, 18]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,16,0.8947368421052632,6862614,0.945369984,0.782608695652174,0.780952380952381,0.780952380952381,"[[20, 3], [7, 16]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,2,0.5263157894736842,6862614,0.945369984,0.4782608695652174,0.3839285714285714,0.3839285714285714,"[[2, 21], [3, 20]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,2,0.47368421052631576,6862614,0.945369984,0.5434782608695652,0.47126436781609193,0.47126436781609193,"[[4, 19], [2, 21]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,25,0.9736842105263158,6862614,0.945369984,0.9565217391304348,0.9565217391304348,0.9565217391304348,"[[22, 1], [1, 22]]"
42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,22,0.9473684210526315,6862614,0.945369984,0.9565217391304348,0.956439393939394,0.956439393939394,"[[23, 0], [2, 21]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,24,0.9736842105263158,5861266,0.647596928,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[22, 1], [0, 23]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,33,0.9210526315789473,5861266,0.647596928,0.8478260869565217,0.8477541371158392,0.8477541371158392,"[[20, 3], [4, 19]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,20,0.6052631578947368,5861266,0.647596928,0.6304347826086957,0.6302600472813239,0.6302600472813239,"[[14, 9], [8, 15]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,12,0.5789473684210527,5861266,0.647596928,0.5652173913043478,0.5643939393939394,0.5643939393939393,"[[12, 11], [9, 14]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,34,1.0,5861266,0.647596928,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[22, 1], [0, 23]]"
123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,9,0.868421052631579,5861266,0.647596928,0.9347826086956522,0.9347517730496454,0.9347517730496454,"[[22, 1], [2, 21]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,13,0.9736842105263158,6862614,0.945369984,0.8695652173913043,0.8673076923076923,0.8673076923076924,"[[23, 0], [6, 17]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,50,0.9736842105263158,6862614,0.945369984,0.8913043478260869,0.8912529550827423,0.8912529550827423,"[[21, 2], [3, 20]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,36,0.7631578947368421,6862614,0.945369984,0.6521739130434783,0.6521739130434783,0.6521739130434783,"[[15, 8], [8, 15]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,10,0.7631578947368421,6862614,0.945369984,0.5434782608695652,0.5415282392026578,0.5415282392026578,"[[14, 9], [12, 11]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,7,0.9736842105263158,6862614,0.945369984,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[23, 0], [1, 22]]"
123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,8,0.9473684210526315,6862614,0.945369984,0.9130434782608695,0.9130434782608695,0.9130434782608695,"[[21, 2], [2, 21]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,9,0.9473684210526315,5861266,0.647596928,0.9130434782608695,0.9123809523809524,0.9123809523809523,"[[23, 0], [4, 19]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,43,0.9736842105263158,5861266,0.647596928,0.9347826086956522,0.9345040341718083,0.9345040341718083,"[[23, 0], [3, 20]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,3,0.6578947368421053,5861266,0.647596928,0.4782608695652174,0.4772727272727273,0.47727272727272724,"[[10, 13], [11, 12]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,3,0.631578947368421,5861266,0.647596928,0.5217391304347826,0.498015873015873,0.498015873015873,"[[17, 6], [16, 7]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,34,1.0,5861266,0.647596928,0.9782608695652174,0.9782505910165484,0.9782505910165484,"[[22, 1], [0, 23]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,36,0.9736842105263158,5861266,0.647596928,0.9565217391304348,0.956439393939394,0.956439393939394,"[[21, 2], [0, 23]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,36,1.0,6862614,0.945369984,0.8913043478260869,0.8912529550827423,0.8912529550827423,"[[20, 3], [2, 21]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,14,0.9736842105263158,6862614,0.945369984,0.8478260869565217,0.8471760797342193,0.8471760797342193,"[[18, 5], [2, 21]]"
2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,29,0.7631578947368421,6862614,0.945369984,0.5434782608695652,0.532656023222061,0.532656023222061,"[[9, 14], [7, 16]]"
